what,kind,bundleId,bundleVersion,description,time
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1343482460918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482460963
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482526861
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1343482622164
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343482624618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482642347
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482648751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482654947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482672713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482676859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482679665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482681291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482682914
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1343482682968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482684912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482729217
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343482729284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482731936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482741575
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1343482743645
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482747017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482822933
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343482865072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482865798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482869250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482874415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482899091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482899898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482902782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482905883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482959306
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1343482960052
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343482961629
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1343482965030
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1343482969349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482974016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482974232
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343482976161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482976838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482980225
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1343482980252
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343482985171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343483045860
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343483045923
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1343483048156
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343483049560
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1343483052613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343483055782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343483237175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343483242907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343483243900
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1343483243924
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343483244723
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343483245935
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343483247375
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343483267216
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1343483270394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343483314184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343483558082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343483560584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343483572046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343483575567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343483576885
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343483583202
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1343483603384
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1343483603499
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1343483603500
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1343483603550
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1343483603905
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1343483604085
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1343483604182
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1343483604182
stopped,bundle,com.android.ide.eclipse.ndk,20.0.0.v201206242043-391819,"com.android.ide.eclipse.ndk",1343483604182
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,20.0.0.v201206242043-391819,"overlay.com.android.ide.eclipse.adt.overlay",1343483604209
stopped,bundle,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.adt",1343483604209
stopped,bundle,org.eclipse.cdt,8.0.2.201202111925,"org.eclipse.cdt",1343483604369
stopped,bundle,org.eclipse.cdt.doc.user,5.1.1.201202111925,"org.eclipse.cdt.doc.user",1343483604437
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1343483604474
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1343484095078
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1343484095081
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1343484095095
